成品布號,色系名稱,色系編號,OP否,DPF,標準樣L,L,CIE_DL,標準樣a,a,CIE_Da,標準樣b,b,CIE_Db,標準樣C,C,標準樣h,h,CMC_DE,配方料號1,配方濃度1,配方料號2,配方濃度2,配方料號3,配方濃度3,配方料號4,配方濃度4,配方料號5,配方濃度5,配方料號6,配方濃度6
SW-8105,WH,1,Y,0.69,96.04,96.38,0.34,-1.47,-2.72,-1.26,5.08,7.46,2.38,,7.94,,110.07,2.84,1111,0.001,無,0,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.6,-0.44,-1.47,-1.72,-0.25,5.08,5.28,0.2,,5.55,,108.03,0.39,1310,0.0009,1510,0.0004,1111,0.0002,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.83,-0.21,-1.47,-2.61,-1.14,5.08,9.11,4.03,,9.47,,105.99,4.39,1310,0.001,1111,0.0008,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.6,-0.44,-1.47,-2.92,-1.46,5.08,10.41,5.34,,10.82,,105.68,5.8,1310,0.001,1111,0.0005,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.92,-0.12,-1.47,-1.44,0.03,5.08,6.49,1.41,,6.64,,102.48,1.5,1310,0.001,1111,0.0005,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.6,-0.44,-1.47,-1.26,0.2,5.08,6.77,1.7,,6.89,,100.57,1.85,1310,0.001,1111,0.0001,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.65,-0.39,-1.47,-1.36,0.11,5.08,6.19,1.12,,6.34,,102.41,1.21,1310,0.001,1510,0.0001,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.71,-0.33,-1.47,-1.38,0.09,5.08,4.72,-0.36,,4.92,,106.27,0.4,1310,0.001,1510,0.0005,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.58,-0.46,-1.47,0.16,1.63,5.08,1.6,-3.48,,1.61,,84.14,4.11,1310,0.001,1510,0.0005,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.74,-0.3,-1.47,-1.51,-0.04,5.08,4.74,-0.34,,4.97,,107.66,0.38,1310,0.0009,1510,0.0004,無,0,無,0,無,0,無,0
SW-8105,WH,1,Y,0.69,96.04,95.66,-0.38,-1.47,-1.71,-0.24,5.08,5.35,0.27,,5.62,,107.75,0.42,1310,0.0009,1510,0.0004,1111,0.0002,無,0,無,0,無,0
SW-80822C0,KH,1,Y,1.04,49.31,49.17,-0.14,-1.99,-1.94,0.05,11.47,11.46,-0.01,,,,,0.09,1565,0.2,1191,0.17,1430,0.1,1201,0.06,無,0,無,0
SW-80661C0,GY,2,Y,1.04,30.51,30.72,0.22,0.32,0.31,-0.02,-2.28,-2.23,0.04,,2.25,,277.78,0.15,1593,0.84,1391,0.4,1191,0.268,1722,0.081,無,0,無,0
SW-80661C0,GY,2,Y,1.04,30.51,30.92,0.41,0.32,0.35,0.03,-2.28,-2.38,-0.1,,2.4,,278.39,0.28,1593,0.84,1391,0.4,1191,0.268,1722,0.081,無,0,無,0
SW-80186ST,NB,6,Y,1.04,32.58,33.34,0.77,-1.17,-1.08,0.1,-6.56,-6.22,0.33,,,,,0.56,1593,0.76,1391,0.24,1724,0.2,1191,0.12,無,0,無,0
SW-80186ST,NB,6,Y,1.04,32.58,32.89,0.31,-1.17,-1.27,-0.09,-6.56,-6.65,-0.1,,,,,0.23,1593,0.78,1391,0.24,1724,0.2,1191,0.12,無,0,無,0
SW-80236C0,NB,5,Y,1.04,24.91,25.1,0.18,-7.75,-7.75,0,-15.86,-16.04,-0.18,,17.82,,244.23,0.18,1588,1.7,1578,1.3,1191,0.13,無,0,無,0,無,0
