發料單號,Name,色系名稱,色系編號,成品布號,OP否,DPF,機器規格,染缸容量KG,主泵轉數,帶布輪轉速,噴嘴大小,循環時間,總圈數,浴比,色號,是否有追加,標準樣L,L,CIE_DL,CMC_DL,標準樣a,a,CIE_Da,標準樣b,b,CIE_Db,標準樣C,C,CMC_DC,標準樣h,h,CMC_Dh,CMC_DE,配方料號1,配方濃度1,配方料號2,配方濃度2,配方料號3,配方濃度3,配方料號4,配方濃度4,配方料號5,配方濃度5,配方料號6,配方濃度6,配方料號7,配方濃度7
F9302-25063841,F9302-25063841,BK,7,SCK-4186,N,1.04167,Rapido-1,600,1250,1050,30*40,68.00,391.16,9.30,A1605-23040175-5C1,Y,15.33,15.92,0.59,,0.62,0.71,0.09,-1.42,-1.16,0.27,,,,,,,0.69,1430,0.17,1862,0.025,1142,0.00063,無,0,無,0,無,0,無,0
F9302-25070097,F9302-25070097,PI,3,SCK-4186EM,N,1.04167,Rapido-1,600,1200,1000,30*40,52.50,564.99,12.35,A1605-25030097-1A,Y,54.07,54.92,0.86,,55.59,56.13,0.54,-0.88,0.34,1.22,,,,,,,0.79,1384,0.6336,1034,0.121,無,0,無,0,無,0,無,0,無,0
F9302-25070172,F9302-25070172,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1150,950,25*2,152.00,146.41,10.00,1711131-1A,N,32.95,32.49,-0.46,,-0.86,-0.70,0.16,-1.88,-1.75,0.12,,,,,,,0.38,1576,0.7293,1724,0.5508,1430,0.044,無,0,無,0,無,0,無,0
F9302-25070251,F9302-25070251,BK,3,SCK-3804,Y,1.04167,Rapido-2,400,1100,900,35*50,83.00,136.08,5.00,A1605-23090155-6B,N,19.36,18.01,-1.35,,-0.19,0.09,0.28,-2.55,-2.11,0.43,,,,,,,1.32,1862,2.5,1722,0.21,1430,0.0275,無,0,無,0,無,0,無,0
F9302-25070291,F9302-25070291,BK,3,SCW-136WP4,Y,0.69444,Rapido-2,800,1250,1050,25X3,55.75,249.22,12.12,2007048-1A,N,18.46,17.61,-0.85,,0.20,0.43,0.23,-2.45,-1.49,0.96,,,,,,,1.47,1862,3.4,1722,0.625,1588,0.54,1848,0.45,1430,0.152,無,0,無,0
F9302-25070296,F9302-25070296,YE,2,SCW-136WP4,Y,0.69444,Rapido-2,100,1300,1000,25X3,18.50,609.89,22.73,A1605-24110105-1D,Y,81.18,84.89,3.72,,7.35,2.31,-5.04,83.88,81.28,-2.60,,,,,,,3.18,1191,0.8,1201,0.035,1580,0.001,無,0,無,0,無,0,無,0
F9302-25070326,F9302-25070326,GY,2,SW-80462C0,Y,1.04167,Rapido-2,100,1200,900,40*30,16.50,1352.06,11.63,A1605-25030228-2A,N,64.89,64.38,-0.51,,-5.35,-5.82,-0.47,-4.27,-5.26,-0.99,,,,,,,1.12,1565,0.0985,1722,0.0132,1191,0.0128,1430,0.0051,無,0,無,0,無,0
F9302-25070330,F9302-25070330,GR,2,SCK-3828,N,1.04167,Conveyor-1,300,80,270,140,483.00,38.49,5.83,A1605-25060151-1B,N,52.37,51.26,-1.12,,-12.15,-11.69,0.45,10.51,10.21,-0.29,,,,,,,0.62,1191,0.15,1430,0.027,無,0,無,0,無,0,無,0,無,0
F9302-25070333,F9302-25070333,RE,2,SCK-3928,N,1.04167,Rapido-1,600,1200,900,40*40,72.75,238.46,0.00,A1605-25050108-9D,N,69.21,68.55,-0.65,,12.92,13.66,0.74,9.19,8.85,-0.34,,,,,,,1.02,1310,0.165,1111,0.11,1510,0.027,無,0,無,0,無,0,無,0
F9302-25070371,F9302-25070371,NB,6,SCK-3724,Y,0.69444,Rapido-2,100,1250,1000,30*4,10.50,2107.62,20.00,A1605-25060112-1A,N,23.24,23.47,0.23,,8.13,7.64,-0.49,-26.66,-26.21,0.45,,,,,,,0.46,1588,1.368,1578,1.224,1640,0.639,1722,0.0234,無,0,無,0,無,0
